y	x1	x2	x3	x4
91.5	6.8	8.2	7.5	7
130.5	7.6	8.7	8.6	8.2
95.5	8.2	9.8	7.7	7.5
93.5	7	8.3	7.7	6.3
109.5	8	8.5	8.1	6
99.5	6.4	8.4	8.2	6.5
94	7.5	8.3	7.9	6
96.5	7.5	7.9	7.4	6.5
69.5	6.7	8.4	7.2	6.2
175	10.5	12.1	10.1	6.8
97.5	8.4	8.3	7.3	5.8
178	10.2	11.7	10.1	7
218	11.4	12.4	11.5	7.4
213.5	12.1	13.2	10.7	6.9
151	10	10.9	9.6	6.6
144	9.8	10.8	9.6	6.8
150.5	10	10.9	9.4	7.2
201.5	11	11	9.7	6.5
282	11.7	12.7	11.7	7.2
165	9.6	11.4	10.2	7.7
196.5	11	12.6	9.9	6.9
143.5	10.3	11	9.7	6.2
237.5	11.6	13.6	11.6	8
220.5	11.2	12.2	10.2	7.5
